,,,,,,,,,
,2026,2026,2026,2027,2027,2027,2028,2028,2028
Location,Funding US$,Pledges US$,Total,Funding US$,Pledges US$,Total,Funding US$,Pledges US$,Total
Philippines,"$7,092,057",$0,"$7,092,057","$1,199,390",$0,"$1,199,390",$0,$0,$0
Poland,$0,$0,$0,$0,$0,$0,$0,$0,$0
Portugal,$0,$0,$0,$0,$0,$0,$0,$0,$0
Qatar,$0,$0,$0,$0,$0,$0,$0,$0,$0
Region - Latin America and the Caribbean,"$3,944,677",$0,"$3,944,677","$365,995",$0,"$365,995",$0,$0,$0
Region - Middle East and Northern Africa,"$14,830,093",$0,"$14,830,093",$0,$0,$0,$0,$0,$0
Region - Southern and Eastern Africa,"$117,096",$0,"$117,096",$0,$0,$0,$0,$0,$0
Region - West and Central Africa,"$117,096",$0,"$117,096",$0,$0,$0,$0,$0,$0
Russian Federation,$0,$0,$0,$0,$0,$0,$0,$0,$0
Rwanda,"$5,533,663",$0,"$5,533,663","$4,874,728",$0,"$4,874,728","$3,257,055",$0,"$3,257,055"
Saint Vincent and the Grenadines,"$263,915",$0,"$263,915","$89,964",$0,"$89,964",$0,$0,$0
Saudi Arabia,$0,$0,$0,$0,$0,$0,$0,$0,$0
Senegal,"$169,841",$0,"$169,841","$113,719",$0,"$113,719","$37,698",$0,"$37,698"
Serbia,"$138,863",$0,"$138,863","$62,773",$0,"$62,773","$56,291",$0,"$56,291"
Sierra Leone,"$1,280,294",$0,"$1,280,294","$837,090",$0,"$837,090",$0,$0,$0
Singapore,$0,$0,$0,$0,$0,$0,$0,$0,$0
Slovenia,$0,$0,$0,$0,$0,$0,$0,$0,$0
Solomon Islands,"$309,174",$0,"$309,174","$225,922",$0,"$225,922","$221,211",$0,"$221,211"
Somalia,"$75,644,409",$0,"$75,644,409","$32,441,556",$0,"$32,441,556","$31,214,192",$0,"$31,214,192"
South Africa,"$30,000",$0,"$30,000",$0,$0,$0,$0,$0,$0
South Sudan,"$126,745,104","$1,643,725","$128,388,829","$62,925,464",$0,"$62,925,464","$45,306,021",$0,"$45,306,021"
Spain,$0,$0,$0,$0,$0,$0,$0,$0,$0
Sri Lanka,"$1,715,056",$0,"$1,715,056",$0,$0,$0,$0,$0,$0
Sudan,"$161,827,976","$1,506,594","$163,334,570","$34,327,038",$0,"$34,327,038","$1,129,449",$0,"$1,129,449"
Sweden,$0,$0,$0,$0,$0,$0,$0,$0,$0
Switzerland,"$401,729",$0,"$401,729","$224,091",$0,"$224,091","$59,880",$0,"$59,880"
Syrian Arab Republic,"$73,831,281",$0,"$73,831,281","$7,551,041",$0,"$7,551,041","$1,377,246",$0,"$1,377,246"
Tajikistan,"$3,094,059",$0,"$3,094,059","$3,239,521",$0,"$3,239,521","$1,571,856",$0,"$1,571,856"
"Tanzania, United Republic of","$2,655,085",$0,"$2,655,085","$922,526",$0,"$922,526","$109,894",$0,"$109,894"
Thailand,"$330,409",$0,"$330,409","$58,956",$0,"$58,956",$0,$0,$0
Togo,"$3,800,250",$0,"$3,800,250","$126,068",$0,"$126,068","$132,174",$0,"$132,174"
Trinidad and Tobago,"$65,881",$0,"$65,881",$0,$0,$0,$0,$0,$0
Tunisia,"$1,469,324",$0,"$1,469,324","$116,263",$0,"$116,263",$0,$0,$0
Turkmenistan,$0,$0,$0,$0,$0,$0,$0,$0,$0
Türkiye,"$9,308,053",$0,"$9,308,053","$6,195,786",$0,"$6,195,786","$6,195,786",$0,"$6,195,786"
Uganda,"$22,981,260",$0,"$22,981,260","$3,066,459",$0,"$3,066,459",$0,$0,$0
Ukraine,"$247,779,410","$1,483,679","$249,263,089","$42,975,919","$1,483,679","$44,459,598","$1,798,152","$1,483,679","$3,281,831"
United Arab Emirates,$0,$0,$0,$0,$0,$0,$0,$0,$0
United Kingdom,$0,$0,$0,$0,$0,$0,$0,$0,$0
United States,"$1,654,444",$0,"$1,654,444","$88,819",$0,"$88,819","$26,123",$0,"$26,123"
Uruguay,$0,$0,$0,$0,$0,$0,$0,$0,$0
Uzbekistan,$0,$0,$0,$0,$0,$0,$0,$0,$0
Vanuatu,"$172,678",$0,"$172,678","$33,378",$0,"$33,378",$0,$0,$0
"Venezuela, Bolivarian Republic of","$16,737,011",$0,"$16,737,011","$899,508",$0,"$899,508","$53,271",$0,"$53,271"
Viet Nam,"$670,227",$0,"$670,227",$0,$0,$0,$0,$0,$0
Yemen,"$75,625,154","$5,707,164","$81,332,318","$15,362,279","$2,181,025","$17,543,304","$4,396,464",$0,"$4,396,464"
Zambia,"$3,086,365",$0,"$3,086,365","$1,308,356",$0,"$1,308,356",$0,$0,$0
Zimbabwe,"$7,744,780",$0,"$7,744,780","$1,258,809",$0,"$1,258,809","$734,765",$0,"$734,765"
Multiple Locations (shared),"$35,581,764",$0,"$35,581,764","$17,674,212",0,"$17,674,212",3529296,0,"$3,529,296"
